product_id,clean_name,manufacturer_id,dosage_form,pack_size,pack_unit
48617313,farcolin,174,solution,10.0,strip
4bfbbd81,inflased bilim,175,Eye Drop,10.0,strip
289b3354,stop lice shampoo,176,Shampoo,100.0,bottle
1f061141,arm sling childe,177,Bandage,10.0,strip
63197fa4,snow lady,178,cotton pad,10.0,strip
c4a82aa9,carve tad,179,Tablet,10.0,strip
5f3d7e4a,vincarutine,180,Capsule,30.0,strip
98f6d1ea,maddogrel,181,Tablet,10.0,strip
ab36044b,bixtonim xylo ml,182,Nasal Spray,10.0,strip
00f226e5,genquin cream,183,Cream,30.0,tube
0e93f764,esolina,184,Capsule,10.0,strip
d5202dbe,valibone stick calcium + v d + v k,3,Satchet,,
c70d7dba,laser tooth brush soft,3,toothbrush,,
b35769cf,delice,185,spray,10.0,strip
000b82c0,faramox,186,Capsule,10.0,strip
5ec23093,st ives fresh skin oil free,187,Scrub,10.0,bottle
fc8c88f2,gnb cyanofer,58,Capsule,10.0,strip
19266336,omemac capsules,188,Capsule,10.0,strip
4f53f677,advance snail cosrx cream all in one,3,Cream,,
7bbd5d26,glovit h hematinic,189,Capsule,10.0,strip
5a5fb4a4,applicator tampons regular *,3,tampons,,
d172edfd,nuno baby nail clippers,3,nail clipper,,
b51e4cee,ceftridar darnitsa i v,190,Injection,10.0,strip
77100246,amlodipine mg wockhardt,191,Tablet,10.0,strip
2a877604,metformin stada,144,Tablet,10.0,strip
d92aaef7,cosrx aloe soothing sun cream spf +,3,sunscreen,,
0635f145,mobicam,156,Tablet,10.0,strip
19671d90,fast acting plannasal for adult,3,Nasal Spray,,
3e469acf,omathrocin,124,Syrup,10.0,strip
f7bcbf5e,vitagen ovarian support,192,Tablet,15.0,bottle
ba46bc0b,rispons,62,Tablet,10.0,strip
af85c06b,eveline soft bio cherry,176,Lip balm,,
a8222e4e,uniborm,193,Eye Drop,10.0,strip
115d5d89,renal clear,194,sachet,15.0,tube
91b5c912,baobab oil repair shampoo,127,Shampoo,75.0,bottle
2199d0d2,e+,195,Set,28.0,strip
2748a70e,minoxidil tar,196,Shampoo,10.0,strip
4b18e4a7,nutmeg sensitive baby wipes,3,cleanser,,
7b2f8be8,eplerenone accord,197,Tablet,30.0,tube
08a72fa3,rawan minute,198,water,4.0,strip
578f6e47,ketalgin iv im,199,Amp,10.0,strip
cf3e1f09,murad renewing eye cream,200,Cream,15.0,tube
70394409,all natural pure,201,Powder,10.0,strip
46341718,med patch eyes contour,75,Patch,3.0,tube
11a2a3d5,elina med sun spf,202,sunscreen,10.0,strip
f39302a2,devamin multivitamin syrup,203,Syrup,100.0,bottle
e3bee3d2,ip urea skin lab,204,Cream,10.0,strip
3c712a7d,dologan denk,205,Tablet,10.0,strip
22b66064,anafranil draje,206,Tablet,10.0,strip
366e9d23,ketovit anti dandruff,207,Shampoo,75.0,gm
2a71f151,euthyrox,208,Tablet,100.0,units
9427aa9d,primalac ar,209,milk,10.0,strip
5fa50cde,dexamed,210,Ampoule,10.0,strip
89ec7a84,midagyl,211,,10.0,strip
0076daf9,oral b essetial unwaxed dental floss,3,dental floss,,
cc2a0a69,paracetamol troge hamborg,44,Tablet,500.0,units
1e9da2ee,advanced thyroid,212,Capsule,20.0,strip
1f904bfc,thymepect for kids,16,,10.0,strip
35f6eb12,noreva trio white xp,213,Cream,20.0,tube
8ae2d28c,tulvak herbal cough syrup,214,Syrup,100.0,bottle
9269d71c,cipox,2,Tablet,10.0,strip
5a1cf539,lacer oros,215,tooth paste,10.0,strip
e5c7ef6c,as nystacort oint,216,Ointment,10.0,tube
e754ce5f,uriage depiderm,217,gel,10.0,strip
b3a68d67,preni,218,Tablet,10.0,strip
4c046513,canditral,59,Capsule,10.0,strip
66b5497a,bisoprolol mg film coated,219,Tablet,10.0,strip
cd1857e4,bronchoraz syrup,220,Syrup,100.0,bottle
3a6203f0,anti chute,221,Tablet,10.0,strip
a702af6e,bottle milk,222,,10.0,strip
03a707fd,emotion hot night,61,lubricant,100.0,bottle
914a17a8,yodosel tablets italy,3,Tablet,,
f61701f3,tasneen gel,107,Gel,15.0,tube
f0db7a80,hydroderm lip balm ultra repairing,3,lip balm,,
4989d1f0,acm sebonex fuming jel,59,gel,10.0,strip
af029a30,labolone cream m,127,Cream,15.0,tube
3a62a410,normogrip,223,Capsule,10.0,strip
ed84a246,evolve medium,9,gloves,10.0,strip
3576a0b2,raha mask childes,3,mask,,
b6a435f6,albil,224,Chewable Tablet,10.0,strip
8cee3e8e,pedia well iron,225,drop,10.0,strip
ecda8665,hamazine,38,Cream,10.0,strip
998a959e,fulica body cleansing gel oil & acneuc skins,3,Cleansing gel,,
b36b6045,collagen powder vanilla,62,powder,8.0,gm
a9fd161b,lisolek,41,Tablet,10.0,strip
8e341d1e,lamicon spray m,226,spray,10.0,strip
4f84e984,hairgaine for men,227,,15.0,tube
650844c0,janagesic,65,Tablet,10.0,strip
ab135cf6,foot stock,228,stock,30.0,units
8842b33c,honey cure,229,ointment,30.0,tube
cb157ca4,cefaks,16,Suspension,10.0,strip
e45b334b,bright flex,230,Tablet,4.0,strip
0056a63d,awasalazin,231,Tablet,6.0,strip
09f92baf,biofin anti lice,232,Shampoo,10.0,strip
e46db4fe,mystro xr,233,Tablet,10.0,strip
95b53851,more iron,234,Tablet,10.0,strip
00a233f1,estelle & thild ultra rich repair cream,3,Cream,,
53ffc97d,ozar ointment,235,ointment,25.0,tube
aff3c15b,paralin,236,,10.0,strip
ccb22c2b,balea hand cream olive,237,Cream,20.0,tube
aa6381a6,diarilium solution,238,solution,60.0,bottle
e1c9185c,ams omega,70,Capsule,10.0,strip
3713df05,pinnacle castor oil,63,oil,17.0,gm
861794bf,usidin,239,Cream,10.0,strip
a9aa43fe,dr c tuna odour control spray,3,Spray,,
99edc80d,lidocaine iran daru,44,Spray,10.0,strip
e87d09ac,corn caps x cm pipal tree,3,plaster,,
7a9c1ebd,mustela stretch marks cream in,240,Cream,10.0,tube
7d402177,air doctor pack,241,V. foam,10.0,strip
a41b2a6d,nutra iron vial,242,vial,2.0,ml
a3ba26c0,fresubin protein powder,235,powder,100.0,gm
d3210be5,herbion syrup,243,Syrup,100.0,bottle
9bc33e16,ferrovita sunlife,244,Syrup,10.0,strip
e0d313fc,lanol paracetamol,44,Ampoule,500.0,units
bc7cdf73,estelle & thild coconut crunch body scrub,3,butter,,
24b9401b,friks honey lemon lozenge,245,lozenge,,
23d82cf0,nutrocare mega zinc sulphate,246,Capsule,10.0,ml
e2f40a3e,sensodyne fresh mint,247,tooth paste,100.0,gm
32a87bc4,ellova sachet,248,sachet,10.0,gm
a354cd74,nivea indulging moisture honey caring hand wash,3,water,,
0e49c7f1,e dry scalp,249,Shampoo,10.0,strip
163fe7c5,nivea men sensitive,207,,60.0,bottle
53e22064,always cotton soft,15,santy,20.0,bottle
3b541be4,eyeoptima,250,Capsule,10.0,strip
8baa7e0b,caelin sulfur,232,Soap,10.0,strip
5a5a1dca,kidssi growth,251,Syrup,10.0,strip
240dec76,seba med ph,252,Shampoo,10.0,strip
b2ec7b76,red rings starwabery,253,gel,10.0,strip
735b7bb9,lipikar balm,254,Cream,10.0,strip
f820aac9,nexium,27,Tablet,6.0,strip
32043d1f,junior ghr easy to swallow,3,Tablet,,
ab9da3e0,kadmiron,255,Capsule,120.0,units
5c3b466e,relif celecoxib tabuk,3,Capsule,,
fc341918,aprazole,256,Tablet,4.0,strip
653f75cd,vitarux multi junior,257,Syrup,100.0,bottle
674b07e6,meflin,258,Tablet,10.0,strip
254cda75,vitis orthodontic,259,,10.0,strip
ae041ff1,ceftriaxone darnitsa,82,vial,10.0,strip
a4c17849,splat active,207,tooth paste,30.0,units
45a622c1,ceftinex,156,Oral Suspension,10.0,strip
801cb091,topicrem hydra+ spf light tiented,3,sunscreen,,
43cff47d,multivitamin kids,82,,10.0,strip
c8d97a9f,enfacalm appetite raspberry,75,Syrup,10.0,bottle
ffb076ad,nopucid lotion + remover shampoo from years,3,lotion,,
d17be9f4,bn hsn,38,Tablet,10.0,strip
ce2cbaae,duracell pily sa at,260,pill,10.0,strip
dff176d5,panadol joint tablets gsk,3,Tablet,,
7c28224b,sea water,152,Nasal Spray,15.0,strip
0bd351d7,betacortal ointment,261,ointment,15.0,tube
137e075b,advanced night repair,262,serum,10.0,ml
8d10007c,svr sebiaclear mat pores,263,Cream,10.0,strip
e9e557f9,lacalut white & reair,3,Toothpaste,,
6012fd04,bandage cm spi sada,264,Bandage,10.0,strip
ad287e5a,nuno baby glass bottle milk,3,bottle milk,,
5ee3d61a,tadilas,265,Tablet,5.0,strip
b62318b8,kwick releef be barg,57,hot bag,10.0,strip
b18429be,potassium chloride,266,Ampoule,10.0,strip
c5105f06,mestinon,50,Tablet,10.0,strip
a87704b5,tretoderm,267,Cream,7.0,strip
86408f53,ephedryl,268,Tablet,10.0,strip
dfd21dc3,glyceryl trinitrate micrograms bristol,3,Tablet,,
0cdfa86b,azimiocin,269,Tablet,3.0,strip
3e73f2b4,ofloxain,270,Tablet,10.0,strip
4967e648,actifenac,271,Tablet,10.0,strip
97958909,oral b,272,,21.0,strip
ab11d0a7,kiss baby,99,bottle milk,5.0,strip
4f486bff,awafurosem,273,Tablet,4.0,strip
8f9a830d,splat dental floss bergamo & lime,3,dental floss,,
684fe770,color & soin enriched pure pigments,3,Color,,
8140f0be,adva biotics kids sach advalife,3,sachet,,
f2fb8167,top clear sachet,274,sachet,5.0,gm
f0b7df56,pirox gel,2,Gel,30.0,tube
3b6b31e6,alergolik,275,Tablet,10.0,strip
7af4b044,mustela hydra bebe facial cream,276,Cream,30.0,tube
8c47c4ba,hemostop,277,Gel,10.0,strip
d312c954,tekosit,278,Injection,10.0,strip
4b257dc0,dettol sensitive,82,soap,10.0,strip
471c1fb2,flexiseq,279,Gel,10.0,strip
07bece47,molfix adet,280,daibi,10.0,strip
f0bdd3ba,pectol fresh eucalyptus+c,3,lozenge,,
cfda43dd,vapourrub,281,Inhaler,10.0,strip
0877e043,biotell skin whitening foaming soap,3,Foam,,
1a9c91f6,nova,2,Capsule,10.0,strip
2025caf1,male external catheter,3,condoms,,
15224ebf,loreal elivive dream lengthys heat slayer iron spray,3,Spray,,
364ab83c,histac mg,63,Tablet,30.0,strip
43e66270,ilon wound care ointment,282,ointment,15.0,tube
7130bbf5,splat kids soft silver,283,toothbrush,60.0,bottle
86e4eaff,genuine fit vitodare,124,Caplet,60.0,bottle
e25d77f2,bombar color shampoo l,284,Shampoo,100.0,bottle
2d967ff6,sinoz pore minimizing serum,3,serum,,
6e9cf362,enalamac,285,Tablet,10.0,strip
66e05e22,hero baby m+ cereals & fruit milk,3,cearelac,,
77dabe72,ome vera fish oil,286,Softgel,10.0,strip
fd0f64a9,kapeet classic,287,condoms,10.0,strip
83e25e3d,sensodyne gargle,288,gargle,100.0,bottle
b53730e8,zinc it,289,Syrup,4.0,strip
ae00b699,carbamazepine,290,Tablet,10.0,strip
7f8b67d1,nanogen thickening treatment men,3,Shampoo,,
13bcbea5,cow & gate,291,milk,10.0,strip
2285ce74,multivitamin haansal,292,,10.0,strip
98ef348c,magnalife ph,293,solution,10.0,strip
b224947d,ginkgo biloba,141,Capsule,10.0,strip
e769ff6c,loperamide generis,191,Tablet,10.0,strip
47b67e77,jojoba scrub golmar,294,soap,10.0,strip
ce3ec827,megental,295,Ampoule,10.0,strip
667a0b8c,gaviscon,296,Oral Suspension,10.0,strip
691e7a96,dormadiem,297,ointment,10.0,strip
f2c9683d,minirin melt unit,73,Tablet,10.0,strip
cf0c29a0,oubargyl,62,Tablet,10.0,strip
68821b98,tricef,96,Tablet,10.0,strip
97d083c2,sodium chloride solution,298,solution,50.0,bottle
bd34bfef,dolomark,16,,15.0,strip
7133360d,dorofen capsul liptis pharma,3,Capsule,,
f9662bd6,navoproxin delta pharma,3,,,
ad6706ab,amoxiplus,299,vial,10.0,strip
7d8ab5a7,aspicard,38,Tablet,10.0,strip
a964e235,vencil softskin liquid acne series,3,liquid,,
5dfc7ed7,bioderma photoderm spf very light,3,Cream,,
56153ae4,belosalic,207,solution,10.0,strip
234548ac,white quinoa,206,Protein,14.0,strip
bffb437d,seawater nasal spray,300,Nasal Spray,15.0,ml
421f0c21,mada ginseng fort l arginine,3,Capsule,,
20930a0c,vikdic ml,301,Ampoule,15.0,strip
b936ba55,solu medrol tm,302,,10.0,strip
e3eab374,januvia,303,Tablet,7.0,strip
41f6661b,glimet m,304,Tablet,10.0,strip
d6a76b3d,esomex mg,305,vial,10.0,strip
e674a408,meladinine,306,Tablet,10.0,strip
674d6d7b,lacabine niacinamide,307,Serum cream,10.0,strip
d5047ac1,anestocaine atrovent,308,drop,2.0,ml
1883b45f,pantolac,309,Tablet,15.0,strip
95dfcb37,steroferol ''h'' iu,3,Ampoule,,
2ccf3e39,step by step ~ years tooth brush,3,toothbrush,,
bdecbca2,t zone blackhead ml,176,,15.0,tube
e7a07fcc,micro lactin,99,Capsule,10.0,strip
1837ca90,banat pikolo soft,310,toothbrush,,
5db2d46b,sealar,311,Cream,10.0,strip
3d7b3e53,omix,312,Tablet,10.0,strip
75b3b589,colchicina,309,Tablet,10.0,strip
7793977e,depilatory cream irani,313,Cream,15.0,tube
4093d22e,silverdin,314,Cream,10.0,strip
c7bb0d76,aquaril sterile water for injection,315,Water,10.0,ml
9d967a63,adrenaline mg osel,316,Ampoule,20.0,tube
c5a551a0,mac allovo dr,317,Tablet,10.0,strip
f7bdb7fd,happy kids zinc,318,Syrup,15.0,strip
137e4698,neutrogena hydro boost water gel,3,Gel,,
3e77e466,vaga baking soda bottel ph,3,SOLUTION,,
a9f16997,president daily white,319,Toothpaste,10.0,strip
e4a17296,sensitelial light tint spf,3,Cream,,
